,SAMPLE_ID,AVG_SEED_WEIGHT,SumOfAvgDiam.mm.,HT,RWD,POP_ID,Days,SPECIES,TOTALEAFWEIGHT,SLA.TOT,S.RL,TotWD,RMR,TotLDW,TotLWS,LDMC
1,HECO_AZNC_KV_1_H1_G,0.010325,0.3521,7.3,0.0025,HECO_AZNC_KV,1,HECO,0,NA,105.99643,0.0025,1,0,0.0126,NA
2,HECO_AZNC_KV_3_H3_G,0.010325,0.2349,18.9,0.0104,HECO_AZNC_KV,3,HECO,0.0281,14.30141895,43.60433427,0.0385,0.27012987,0.0281,0.0986,0.284989858
3,HECO_AZNC_KV_4_H2_G,0.010325,0.261,11.5,0.0081,HECO_AZNC_KV,2,HECO,0.006,14.72609464,45.48732083,0.0165,0.490909091,0.0084,0.0275,0.305454545
4,HECO_AZNC_KV_4_H2_O,0.010325,0.2564,12,0.0082,HECO_AZNC_KV,2,HECO,0.0087,15.54265297,44.1478047,0.0194,0.422680412,0.0112,0.0357,0.31372549
5,HECO_AZNC_KV_6_H1_O,0.010325,0.4396,9.6,0.0026,HECO_AZNC_KV,1,HECO,0.0036,4.9758808,152.0423379,0.0078,0.333333333,0.0052,0.0213,0.244131455
6,HECO_AZNC_KV_6_H1_G,0.010325,0.4485,7.7,0.0028,HECO_AZNC_KV,1,HECO,0.0032,5.352692237,243.7368339,0.0068,0.411764706,0.004,0.0142,0.281690141
7,HECO_AZNC_KV_7_H3_G,0.010325,0.63075,12.3,0.0047,HECO_AZNC_KV,3,HECO,0.0086,3.208105315,19.18125037,0.0133,0.353383459,0.0086,0.021,0.40952381
8,HECO_AZNC_KV_7_H3_O,0.010325,0.59815,16.4,0.0176,HECO_AZNC_KV,3,HECO,0.0289,17.81608133,24.51276868,0.0465,0.378494624,0.0289,0.1153,0.250650477
9,HECO_AZNC_KV_9_H2_G,0.010325,0.3739,19.7,0.0147,HECO_AZNC_KV,2,HECO,0.0307,15.62468191,137.132878,0.0454,0.323788546,0.0307,0.1113,0.275831087
10,HECO_AZNC_KV_13_H1_G,0.010325,0.4662,7.4,0.0013,HECO_AZNC_KV,1,HECO,0.0033,10.31701369,90.34365336,0.0046,0.282608696,0.0033,0.0125,0.264
11,HECO_UTC_KRRS_1_H2_G,0.005805,0.3469,10.6,0.005,HECO_UTC_KRR,2,HECO,0.0062,9.691740136,38.07090172,0.0131,0.381679389,0.0081,0.0169,0.479289941
